# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
57,1721,0.651600,1.397058,2.898350
57,1721,0.861585,1.980265,4.162456
57,1721,0.763188,1.719279,3.506535
57,1721,0.740655,1.659681,3.610168
57,1721,0.782691,1.831054,3.834359
57,1721,0.725896,1.575873,3.363505
57,1721,0.850001,1.930400,3.820635
58,1728,0.504271,1.153524,2.356924
58,1724,0.618815,1.342861,2.365096
58,1724,0.552362,1.183064,1.833512
57,1723,0.839425,1.932848,3.784691
58,1734,0.499163,1.121640,2.267332
58,1726,0.677896,1.334928,2.385888
58,1726,0.448645,1.109650,1.797993
58,1726,0.617239,1.284432,2.690419
58,1726,0.905925,1.983145,4.429012
59,1725,0.550659,1.167838,2.365919
59,1725,0.618291,1.346306,2.422525
58,1724,0.486907,1.117338,1.831448
58,1724,0.653395,1.393608,2.952159
58,1724,0.882221,1.942676,3.813528
58,1724,0.573668,1.137830,2.317577
58,1724,0.655692,1.372827,2.910520
58,1724,0.902118,1.975578,4.038463
58,1724,0.792586,1.724038,3.455206
58,1724,0.890816,1.883404,3.686788
59,1724,0.525052,1.117837,2.297712
59,1724,0.628487,1.223338,2.387710
58,1724,0.502777,1.146090,1.716072
58,1724,0.693824,1.464559,2.977131
59,1725,0.453059,1.066314,2.380449
59,1725,0.604913,1.173639,2.429310
58,1724,0.513946,1.112505,1.775307
58,1724,0.695032,1.477587,3.111334
59,1727,0.495837,1.105067,2.375496
59,1727,0.585722,1.321406,2.439005
58,1725,0.474394,1.113991,1.755177
58,1725,0.657524,1.369774,2.893245
58,1725,0.894646,2.000017,4.114077
58,1725,0.793180,1.733428,3.455819
58,1725,0.766262,1.670408,3.577836
58,1725,0.831380,1.785578,3.502520
58,1725,0.720080,1.527583,3.278876
58,1725,0.938200,2.056205,4.221727
59,1729,0.549673,1.182861,2.362337
59,1729,0.587225,1.178452,2.358596
58,1727,0.467041,1.106230,1.824104
58,1727,0.684048,1.402380,2.951969
58,1727,1.021966,2.242938,4.760010
58,1727,0.759949,1.655583,3.385839
58,1727,0.734914,1.565927,3.399784
58,1727,0.887284,1.931280,3.824363
58,1727,0.747592,1.623819,3.439084
58,1727,0.901826,1.998808,4.016874
59,1727,0.537360,1.187312,2.285656
59,1727,0.583897,1.191940,2.434217
58,1727,0.460717,1.107898,1.891257
58,1727,0.962488,1.962530,4.035950
58,1727,0.562462,1.147375,2.350832
58,1727,0.884906,1.888393,3.679309
58,1727,0.815636,1.722786,3.421773
59,1728,0.527383,1.162467,2.297079
59,1727,0.595940,1.154415,2.375175
58,1725,0.449068,1.149626,1.775165
59,1728,0.543703,1.206631,2.309386
59,1727,0.599582,1.348053,1.816306
59,1727,0.605901,1.178702,2.363479
59,1727,0.975014,2.066763,4.552327
60,1724,0.611073,1.252607,2.342464
60,1724,0.650897,1.325797,2.337628
59,1724,0.528992,1.114881,1.821485
59,1724,0.904267,1.915249,3.738158
60,1726,0.520540,1.152894,2.312036
60,1726,0.612181,1.203630,2.359015
59,1725,0.486680,1.097553,1.805069
59,1725,0.716380,1.490990,3.165115
59,1725,1.029424,2.249260,4.259569
60,1728,0.571244,1.209214,2.406775
60,1728,0.647971,1.385804,2.374395
59,1727,0.618595,1.194128,1.797518
59,1727,1.053312,2.254805,4.323913
59,1727,0.898446,1.701614,3.684183
59,1727,0.801757,1.667656,3.434623
59,1727,0.891672,1.675412,3.612832
59,1727,0.788915,1.673615,3.404679
60,1727,0.538365,1.128795,2.308174
60,1725,0.606742,1.177046,2.383891
59,1723,0.490307,1.093545,1.805124
60,1728,0.528137,1.139082,2.361850
60,1728,0.620118,1.123618,2.327307
59,1726,0.522091,1.145123,1.754699
59,1726,0.745178,1.565465,3.398666
59,1726,0.982795,2.035380,4.031847
59,1726,0.763440,1.618489,3.301341
59,1726,0.798838,1.712860,3.771366
59,1726,0.938925,1.812792,3.872603
59,1726,0.689386,1.454943,3.088525
60,1729,0.490475,1.121949,2.537272
60,1729,0.589793,1.219442,2.106496
59,1729,0.552871,1.145829,2.400143
59,1729,0.846536,1.818089,4.089127
59,1729,0.909161,1.916867,3.772945
59,1729,0.617141,1.135818,2.420669
59,1729,0.664023,1.343763,2.875796
59,1729,0.891088,1.917833,3.947385
59,1729,0.730231,1.499922,3.195186
59,1729,0.893771,1.826220,3.703747
60,1734,0.576334,1.226127,2.434813
60,1729,0.647449,1.171225,2.381181
60,1725,0.525016,1.152310,1.792060
59,1724,0.641113,1.303600,2.715933
59,1724,1.141800,2.242575,4.532858
59,1724,0.683983,1.402510,2.851546
59,1724,0.667042,1.340008,2.821790
59,1724,0.906901,1.891988,4.281556
59,1724,0.975411,2.069029,4.641684
59,1724,0.916147,1.901835,3.742789
60,1732,0.615696,1.182549,2.353658
60,1727,0.643360,1.165022,2.345621
60,1726,0.534387,1.205256,1.801479
59,1723,1.104739,2.260654,4.563055
59,1723,0.711742,1.462240,2.919668
59,1723,0.682418,1.406550,3.003843
60,1725,0.665070,1.445766,3.099154
60,1725,0.642936,1.202683,2.463648
60,1725,0.497870,1.099538,1.860475
60,1725,0.668769,1.305028,2.676306
60,1725,0.912228,1.940407,3.853354
60,1725,0.585337,1.156354,2.357427
60,1725,0.930772,1.903058,3.706198
60,1725,0.613111,1.145129,2.328743
60,1725,0.919394,1.932658,3.690238
60,1725,0.574421,1.179658,2.324470
61,1723,0.477386,1.097276,2.454168
61,1723,0.595087,1.173078,1.900052
60,1722,0.542927,1.127867,2.329966
60,1722,0.752933,1.531985,3.346735
60,1722,1.023353,1.957370,3.999912
61,1723,0.573716,1.203693,2.436949
61,1723,0.628819,1.239131,2.317228
60,1723,0.496604,1.087638,1.790762
60,1723,0.692607,1.366500,2.933019
60,1723,0.914729,1.916789,3.880014
60,1723,0.729300,1.496399,3.124997
60,1723,0.632226,1.226161,2.545865
60,1723,0.790456,1.643735,3.625463
60,1723,0.986725,2.083664,4.000022
60,1723,0.759763,1.560290,3.332954
61,1727,0.548706,1.165835,2.450833
61,1726,0.561223,1.152857,1.968067
60,1725,0.613511,1.192304,2.327620
61,1729,0.562536,1.130910,2.404580
61,1729,0.649873,1.263703,2.427018
60,1729,0.474420,1.147979,1.873894
60,1729,0.982614,1.873635,3.961093
60,1729,0.639898,1.231752,2.501055
60,1729,0.940022,1.964473,3.872644
60,1729,0.605877,1.165785,2.403246
60,1729,0.985317,1.950304,3.952754
60,1729,0.607334,1.172197,2.342807
60,1729,0.666742,1.227662,2.462704
61,1726,0.513749,1.142025,2.267424
61,1725,0.579430,1.187975,1.836770
60,1723,1.006457,2.212655,4.198510
61,1724,0.548011,1.120024,2.256650
61,1724,0.644289,1.331449,2.341502
61,1722,0.542478,1.183404,1.678754
60,1722,1.092145,2.258562,4.510259
61,1731,0.608729,1.363591,2.703906
61,1722,0.625658,1.218949,2.313652
61,1722,0.616899,1.138500,1.771709
60,1721,0.586528,1.148029,2.350445
60,1721,0.923723,1.940540,3.886105
60,1721,0.591605,1.127406,2.254918
61,1723,0.568819,1.158404,2.286898
61,1721,0.590029,1.213197,1.806033
61,1721,0.603675,1.153213,2.315927
61,1721,0.880531,1.839062,3.780006
62,1768,0.554704,1.238232,2.350036
62,1767,0.628668,1.242975,2.401549
62,1765,0.540799,1.213756,1.743763
61,1763,0.585543,1.243994,2.178040
62,1791,0.471263,1.192728,2.231095
62,1791,0.652433,1.449567,2.103625
61,1788,0.496869,1.191231,1.576800
62,1825,0.558407,1.296207,2.115625
62,1825,0.553154,1.311537,2.093013
61,1808,0.485143,1.302858,1.462578
62,1833,0.416256,1.255762,2.183000
62,1833,0.492326,1.302043,1.588949
63,1867,0.459886,1.403267,2.239101
63,1867,0.613301,1.503994,2.299787
63,1865,0.563408,1.441856,1.732954
64,1917,0.498185,1.456885,2.486600
64,1917,0.653001,1.583396,2.524463
64,1911,0.584950,1.546164,1.926577
65,1929,0.612768,1.480509,2.578493
65,1924,0.803798,1.684109,2.817892
64,1910,0.588585,1.541959,2.036862
65,1940,0.678110,1.479417,2.940029
65,1940,0.827028,1.805265,3.099216
65,1931,0.583332,1.583314,2.361412
66,1956,0.707081,1.582014,2.939333
66,1950,0.802479,1.615107,2.937208
65,1937,0.612497,1.488225,2.264203
66,1980,0.690535,1.561070,2.696362
66,1975,0.747769,1.659379,2.774251
65,1960,0.588668,1.418515,2.164453
64,1953,0.720482,1.424291,2.593865
65,1963,0.644427,1.325817,2.624776
65,1956,0.719996,1.347404,2.699921
65,1954,0.575117,1.254879,2.103081
66,1993,0.679777,1.255619,2.594097
66,1987,0.790803,1.435625,2.531007
66,1980,0.722957,1.291272,1.978821
66,1980,0.671140,1.231863,2.369079
67,1997,0.613698,1.151028,2.645060
67,1991,0.814264,1.294636,2.618595
67,1991,0.579768,1.176141,1.978913
66,1981,0.687776,1.154663,2.484589
67,2034,0.647717,1.155713,2.681278
67,2031,0.753207,1.199930,2.626177
66,2024,0.647850,1.135869,2.187372
67,2060,0.567463,1.122170,2.690911
67,2060,0.758824,1.310796,2.734870
67,2054,0.649770,1.193018,2.135231
67,2054,0.880791,1.433607,3.337337
68,2064,0.689513,1.187632,2.806826
68,2061,0.803392,1.252262,2.860788
68,2059,0.680538,1.207148,2.227269
68,2059,1.219978,2.068567,4.332757
69,2125,0.762533,1.389168,3.110667
69,2091,0.749311,1.311105,2.949799
69,2091,0.794563,1.355818,2.887748
68,2081,0.748867,1.339898,2.295397
69,2109,0.732984,1.304610,3.005109
69,2099,0.937066,1.400313,3.020848
69,2095,0.863598,1.517013,2.421491
69,2095,0.885034,1.573403,3.621083
70,2166,0.811305,1.326274,3.168345
70,2163,0.964946,1.568540,3.104222
70,2160,0.845218,1.480294,2.612999
70,2160,1.514691,2.347916,4.918710
71,2254,1.123048,1.958552,4.363029
71,2232,0.821198,1.419667,3.052532
71,2227,1.014077,1.738971,3.070942
71,2226,0.719617,1.419005,2.401733
71,2226,0.881529,1.503102,3.110945
72,2251,0.886176,1.500516,3.122643
72,2239,0.909777,1.566920,3.066354
72,2236,0.913454,1.587441,2.585051
71,2227,0.942813,1.342051,2.432181
72,2227,0.815665,1.502013,3.201651
72,2226,0.696268,1.092409,2.843211
72,2226,0.958768,1.349112,2.971953
70,2197,0.682070,1.059041,2.236540
70,2197,0.844564,1.101836,2.803028
71,2278,0.769654,1.077065,3.017445
71,2256,0.818675,1.109034,2.867897
71,2256,0.873707,1.108763,2.820702
70,2247,0.760815,1.045793,2.236086
71,2264,0.796477,1.103955,2.878729
71,2264,0.983076,1.318633,2.892066
71,2263,0.783817,1.079402,2.242547
72,2277,0.703890,1.004771,2.851532
72,2277,0.878481,1.168546,2.910465
72,2272,0.737705,1.025582,2.183702
73,2323,0.804219,1.085570,2.759912
73,2317,0.868048,1.150198,2.810622
73,2317,0.856486,1.164043,2.304665
73,2317,0.841000,1.098428,2.797161
74,2371,0.821845,1.066204,2.867026
74,2366,0.874470,1.144213,2.818296
74,2366,0.755796,1.085323,2.260609
74,2366,1.303942,1.838412,4.170801
75,2433,0.795474,1.072880,2.698034
75,2378,0.876455,1.148357,2.639414
75,2378,0.733755,1.098551,1.992964
74,2367,0.746590,1.066199,2.544535
75,2388,0.749121,1.046252,2.468872
75,2385,0.871837,1.218098,2.486213
75,2385,0.793475,1.204995,1.903812
74,2375,0.735179,1.010858,2.381435
75,2392,0.619715,0.968912,2.272650
75,2392,0.759289,1.070724,2.241668
75,2392,0.621217,0.960497,1.720679
75,2392,0.745954,1.009085,2.382418
76,2433,0.687256,0.941039,2.201446
76,2432,0.810736,1.071598,2.282698
76,2431,0.719868,0.991177,1.761735
75,2419,0.723731,0.904883,2.185838
76,2448,0.617116,0.875872,2.224855
76,2448,0.771726,1.088209,2.188108
76,2447,0.598926,0.821467,1.525156
77,2461,0.538083,0.783512,2.047219
77,2461,0.693851,0.827317,2.019061
77,2455,0.612399,0.799852,1.547487
77,2455,0.699088,0.813125,2.116554
78,2462,0.688681,0.808703,2.093712
78,2462,0.694922,0.802999,2.008089
74,2460,0.582796,0.721806,1.477529
75,2508,0.663296,0.816213,2.201508
79,2509,0.690426,0.851314,2.126896
76,2507,0.613477,0.762391,1.606605
76,2549,0.746142,0.951375,2.348436
77,2548,0.646432,0.833582,1.932495
80,2549,0.680169,0.827702,2.281816
81,2602,0.675279,0.873994,2.480866
81,2602,0.789418,1.096348,2.630015
81,2602,0.642788,0.834558,2.160018
81,2654,0.702522,0.898376,2.635394
81,2654,0.784952,0.925403,2.676608
81,2653,0.701039,0.919051,2.037536
81,2653,0.777365,0.895439,2.595552
81,2689,0.769451,0.946816,2.747408
80,2688,0.819658,0.944723,2.815218
81,2682,0.690581,0.872504,2.112565
81,2682,1.215644,1.434137,4.284960
81,2777,0.755399,0.933982,3.065459
81,2712,0.889271,1.012629,2.848025
81,2710,0.795482,0.965029,2.225667
81,2697,0.772858,0.905592,2.693773
81,2722,0.883288,0.939451,2.799628
81,2722,0.897684,1.136795,2.961573
81,2722,0.706187,0.905618,2.207654
81,2764,1.228075,0.946814,2.990037
81,2766,0.929332,1.155487,2.968767
81,2763,0.755297,0.938036,2.396792
81,2763,0.941181,1.068982,3.232942
81,2801,0.800814,1.056873,3.019599
81,2801,0.852444,1.002902,2.941014
81,2803,0.774896,0.921483,2.472582
81,2856,0.800569,0.964132,2.999702
81,2857,0.905091,1.041330,3.131113
81,2850,0.764796,0.994258,2.632998
81,2850,1.378687,1.514707,4.529066
82,2974,0.856291,1.108436,3.372765
81,2902,1.026159,1.426364,3.358851
81,2901,0.912168,1.154643,2.828433
81,2889,0.829766,1.031881,3.075281
81,2912,0.725219,0.950067,3.161218
81,2910,0.909910,1.088275,3.185126
81,2909,0.775393,0.973939,2.557676
81,2954,0.744788,0.968619,3.064360
82,2955,0.937270,1.107225,3.020771
79,2957,0.795435,1.037106,2.460534
81,2955,1.307075,1.700181,4.804983
81,3030,0.834506,1.108412,3.275167
83,2983,0.997749,1.233487,3.196362
82,2976,0.871987,1.174220,2.465683
81,2966,0.833420,1.074736,3.050712
85,2992,0.839594,1.098184,3.053457
83,2992,0.982192,1.176137,3.061900
84,2992,0.868289,1.122822,2.557671
85,3037,1.068354,1.151406,3.196602
82,3037,0.974875,1.226362,3.233849
82,3022,0.805262,1.118779,2.601340
82,3016,1.413398,1.794190,4.767365
81,3114,0.892881,1.177568,3.180309
81,3041,1.007842,1.421095,3.169095
81,3039,0.905434,1.223636,2.694597
81,3040,0.899607,1.158916,3.001834
81,3081,0.802406,1.091291,3.180689
81,3061,1.133910,1.405847,3.161460
84,3078,0.837411,1.197435,2.471304
82,3072,1.574092,1.893865,5.071557
85,3185,0.889132,1.196288,3.249850
82,3121,1.023119,1.306574,3.116023
81,3107,0.902253,1.238701,2.571470
81,3099,0.886842,1.164628,2.913373
81,3152,0.823285,1.141926,3.016302
86,3174,1.010275,1.303474,3.116838
81,3144,1.642586,1.208354,2.490490
87,3173,0.960348,1.181126,2.990489
87,3211,0.884915,1.208285,3.163040
88,3211,1.077193,1.254263,3.032666
86,3187,0.816181,1.152162,2.456555
86,3187,1.482103,1.874408,4.788206
87,3330,1.001172,1.234136,3.259236
87,3239,1.097901,1.298868,2.929719
87,3237,0.914147,1.205972,2.434236
87,3237,0.927778,1.127022,2.885007
88,3293,0.848262,1.170957,3.135583
88,3293,1.016847,1.226486,3.255565
87,3289,0.890605,1.144715,2.756919
81,3267,1.033603,1.226170,3.282878
88,3290,1.467521,1.727659,4.956073
90,3290,1.401999,1.664654,4.732701
83,3270,1.349840,1.603935,4.583662
91,3322,0.952884,1.224752,3.105287
91,3314,1.084606,1.206450,3.156550
89,3313,0.983497,1.216391,2.529071
88,3294,0.979200,1.153292,2.883693
81,3324,0.817886,1.165069,3.112452
82,3324,1.028926,1.351933,3.084513
91,3337,0.895943,1.188009,2.414184
85,3317,1.489655,1.855396,4.744551
82,3407,1.117552,1.527905,3.863197
90,3372,1.059087,1.282167,3.058278
83,3351,0.873602,1.220611,2.373108
82,3350,0.970477,1.139304,2.783720
85,3414,0.830797,1.158328,3.200883
91,3434,1.131234,1.364021,2.940514
88,3429,0.882232,1.228030,2.381186
91,3484,0.913700,1.263390,2.958889
91,3484,1.083153,1.324459,2.885396
90,3475,0.941069,1.176756,2.362757
91,3519,0.868897,1.220436,2.946723
91,3519,1.152004,1.362970,2.980527
92,3520,0.924649,1.163895,2.241737
87,3545,0.896184,1.257253,2.926688
92,3564,1.097313,1.341729,2.880236
89,3558,0.931482,1.169245,2.362772
86,3598,0.865879,1.213372,2.944559
81,3580,1.185382,1.614475,2.805836
81,3506,0.872255,1.155797,2.203488
92,3650,0.934401,1.182958,2.807667
93,3651,1.196604,1.434603,2.916618
93,3647,0.917590,1.176562,2.224407
84,3665,1.550467,1.137956,2.913476
95,3707,1.097693,1.141472,2.806968
94,3701,0.949770,1.112226,2.347743
94,3701,1.111058,1.257634,2.843452
82,3631,0.983906,1.097612,2.818714
96,3706,1.113729,1.142712,2.847634
92,3705,1.184102,1.296352,2.347272
82,3563,1.718257,1.839888,4.593135
96,3772,1.188158,1.331688,3.520473
99,3735,1.133998,1.198965,2.915003
97,3732,1.161733,1.302312,2.930175
82,3619,0.951149,1.077053,2.458239
90,3755,0.949817,1.132696,3.037859
81,3692,1.088373,1.208770,3.141594
99,3783,1.321482,1.187770,2.508810
97,3782,1.105632,1.150399,2.959396
97,3822,0.984017,1.160938,3.155516
94,3822,1.225385,1.521491,3.230706
81,3692,0.974195,1.304140,2.804794
82,3653,1.835053,2.190267,5.942104
100,3949,1.131940,1.314117,3.552525
100,3859,1.258614,1.263446,3.251065
101,3859,1.121563,1.179892,2.999136
99,3846,1.033763,1.155672,2.484240
97,3873,0.975476,1.147679,3.096760
100,3870,1.218113,1.363322,3.041885
81,3657,1.026695,1.273677,2.598384
101,3871,1.111814,1.180004,2.937936
99,3897,1.007498,1.156361,3.113661
100,3898,1.326420,1.364731,3.050318
99,3895,1.145921,1.301535,2.486538
98,3882,1.075467,1.163056,2.865825
99,3904,1.024077,1.182234,2.979906
89,3793,1.130515,1.246905,2.999099
104,3906,2.899556,1.260112,2.419342
83,3758,1.075678,1.145684,2.836692
100,3952,1.090266,1.158472,3.123422
89,3825,1.131046,1.440886,3.202582
84,3790,1.040104,1.332421,2.595335
103,3950,1.125872,1.215900,3.041483
104,4006,1.096823,1.237878,3.020657
101,3998,1.184520,1.343211,3.049830
105,4000,1.207263,1.346529,2.519312
100,3996,1.076832,1.213170,3.013985
106,4034,1.090118,1.184426,3.168084
101,4030,1.167913,1.324231,3.111910
102,4026,1.203311,1.465685,2.542347
102,4026,2.505074,2.323386,5.736482
103,3995,1.213861,1.258914,3.002466
99,4076,1.040407,1.275060,3.049864
98,4076,1.179889,1.286054,2.933179
99,4076,0.985612,1.203659,2.346747
97,4063,1.162319,1.292612,2.951657
99,4081,0.989311,1.236756,2.813841
78,3727,1.163494,1.395669,2.845046
102,4083,1.146815,1.311486,2.368739
99,4081,1.104327,1.195316,2.815554
100,4137,1.016891,1.217592,2.941965
99,4137,1.162945,1.329571,2.926150
99,4136,1.223019,1.328116,2.438614
99,4128,1.097661,1.219330,2.816190
100,4177,1.028631,1.179778,2.882093
100,4177,1.222285,1.366389,2.870536
81,3926,1.048284,1.287765,2.328637
102,4162,1.097540,1.150655,2.712526
100,4203,1.040068,1.154807,3.085722
103,4203,1.238314,1.451358,2.948867
103,4203,1.196592,1.378381,2.410759
103,4203,1.143204,1.172892,2.824773
104,4221,1.184125,1.188148,2.950985
82,4000,1.205920,1.362623,3.049539
103,4219,1.064758,1.179135,2.300808
100,4219,1.131406,1.183057,2.904687
102,4251,1.049496,1.207490,2.987741
81,3897,1.109636,1.176181,2.956911
81,3896,1.112079,1.243004,2.241125
101,4250,1.129388,1.209738,2.722647
103,4315,1.034603,1.223141,2.935112
103,4315,1.169583,1.228039,2.824382
103,4314,1.193892,1.392368,2.446239
79,3843,1.043057,1.133925,2.812289
80,3885,0.920049,1.102600,2.931967
103,4356,1.295170,1.564419,2.927707
80,3883,0.923413,1.138931,2.331815
52,2825,0.769764,0.996235,2.908215
81,3981,0.918794,1.107481,3.051662
101,4393,1.318451,1.623732,3.124206
53,2871,0.692497,0.986823,2.463777
85,4218,1.131386,1.245385,3.198718
59,3257,0.759487,1.099005,3.055991
54,2905,0.881134,1.161207,3.073707
86,4251,1.103414,1.344007,2.578050
56,2946,0.841919,1.056395,3.045468
57,2990,0.738771,1.018955,3.114379
87,4295,1.169305,1.326474,3.074650
57,2989,0.896240,1.183881,2.635698
87,4294,1.167559,1.308893,3.142619
78,3928,1.039729,1.228265,3.173406
88,4311,1.185423,1.615707,3.280182
55,2948,0.804088,1.118830,2.539845
87,4295,1.987150,2.265722,5.375357
61,3363,0.881011,1.112179,3.219918
90,4418,1.240028,1.427830,3.203955
88,4335,1.160504,1.432245,3.183894
88,4334,1.055175,1.250283,2.453731
57,3020,0.733655,1.039867,3.081328
89,4367,1.206507,1.604575,3.209055
89,4365,2.154287,1.355189,2.586649
89,4365,1.152810,1.349679,3.115885
90,4376,1.010026,1.258197,3.071779
90,4376,1.312785,1.691033,3.225079
90,4373,1.234972,1.465680,2.664601
107,4534,1.202974,1.383808,3.009548
108,4596,1.195539,1.315457,3.265130
106,4594,1.311082,1.385074,3.338670
82,3804,1.127222,1.513383,2.675001
66,3868,1.015901,1.290819,3.166742
109,4626,1.143386,1.325557,3.204005
67,3898,1.190063,1.617389,3.197373
71,4112,1.139496,1.430541,2.556311
91,4449,1.156791,1.353042,3.104360
110,4640,1.184014,1.364032,3.197361
94,4529,1.309120,1.446424,3.210340
71,4093,0.949506,1.386826,2.733110
74,4090,1.141429,1.344723,3.154325
77,4322,1.057157,1.313297,3.208569
81,4388,1.278054,1.649425,3.234438
81,4387,1.167893,1.477174,2.622099
94,4535,1.174294,1.378977,3.085651
73,4130,1.027781,1.347305,3.237558
95,4557,1.388772,1.711906,3.310056
79,4248,1.276739,1.587290,2.843380
94,4546,1.299225,1.525171,3.415068
72,4119,1.862183,2.175382,5.150083
96,4581,1.266356,1.414924,3.133841
70,4023,0.997908,1.301349,3.309996
95,4593,1.318047,1.460648,3.393017
70,4023,1.266646,1.524956,3.029202
95,4593,1.295036,1.482768,3.407421
73,4166,1.833099,2.250484,5.086536
95,4593,1.293311,1.521375,3.210489
71,4062,1.018334,1.329786,3.363770
74,4199,1.275891,1.475491,3.451162
74,4198,1.171966,1.569886,2.770810
70,4035,1.089196,1.387848,3.325084
75,4289,1.845205,2.282659,5.159832
80,4394,1.235972,1.460486,3.786839
74,4203,1.256070,1.796682,3.387428
96,4630,1.305030,1.510303,3.363353
71,4059,1.070411,1.365897,2.740022
72,4109,1.012035,1.343331,3.422861
75,4252,1.366225,1.717730,3.473402
97,4678,1.276994,1.703006,2.965610
97,4678,1.290502,1.563570,3.245065
73,4144,1.114290,1.439440,3.435640
72,4093,1.189428,1.545458,3.342762
98,4728,1.255179,1.676209,2.741293
95,4631,1.201242,1.482755,3.239872
81,4521,1.115027,1.460380,3.162958
111,4841,1.489301,1.783752,3.275557
76,4332,1.202605,1.584011,2.712912
76,4332,1.174631,1.440969,3.096446
88,4469,1.210761,1.425039,3.212413
73,4140,1.190240,1.494086,3.368115
97,4692,1.280829,1.636055,2.657289
72,4122,1.048957,1.383248,3.075002
97,4691,1.132077,1.424834,3.037762
97,4691,1.343756,1.707265,3.082214
74,4243,1.209082,1.574708,2.529201
113,4863,1.376797,1.499354,2.907348
72,4187,1.032433,1.375743,2.919909
73,4200,1.265291,1.693992,2.971885
73,4200,1.213289,1.680862,2.501179
97,4669,1.197898,1.405957,2.877406
67,3359,0.890105,1.226222,2.909181
68,3398,1.150206,1.592019,3.049070
72,4203,1.203844,1.551807,2.488732
70,4191,1.090293,1.366286,2.934128
68,3391,0.826546,1.223372,3.092675
68,3391,1.065101,1.349926,3.165764
74,4247,1.280384,1.530186,2.577171
68,3409,1.038482,1.264818,2.965793
69,3458,0.934781,1.262866,3.091723
69,3458,1.047427,1.257081,2.929475
69,3457,0.928438,1.230067,2.514563
74,4273,1.131660,1.341667,2.978235
76,4301,1.050853,1.332595,3.026197
75,4296,1.368461,1.677611,2.977703
75,4295,2.234734,1.347102,2.547640
68,4126,1.092537,1.329573,2.975884
64,3267,0.817332,1.254993,3.057573
66,3431,1.038740,1.201033,2.969103
74,4330,1.006715,1.303118,2.456215
72,4327,1.150654,1.364816,2.889979
70,4248,1.003570,1.325550,2.864341
81,4632,1.243189,1.466740,2.943840
81,4628,1.203486,1.470135,2.283887
81,4628,1.134182,1.329410,2.749385
79,4420,1.029762,1.286072,2.806932
81,4656,1.175052,1.372140,2.731832
81,4655,1.278662,1.499707,2.249012
81,4589,1.114676,1.292582,2.735246
81,4681,1.013994,1.288225,2.753414
81,4681,1.187980,1.617654,2.845825
81,4680,1.237588,1.469960,2.265590
81,4677,1.182633,1.348391,2.605452
81,4692,1.030174,1.307444,2.804404
81,4692,1.164137,1.467808,2.722361
81,4691,0.995168,1.261315,2.171466
81,4593,1.115627,1.273355,2.630409
81,4551,0.974543,1.275599,2.882843
81,4513,1.137767,1.457657,2.886367
81,4512,0.980552,1.340375,2.251192
81,4512,1.923959,2.318512,5.077038
82,4713,1.120473,1.419591,3.037464
81,4571,1.195743,1.564887,3.068832
81,4570,1.042503,1.418844,2.448172
81,4570,1.049738,1.295664,2.911170
81,4584,1.044953,1.332892,3.118578
81,4656,1.344839,1.687199,3.005431
81,4655,1.029100,1.369296,2.404740
82,4707,1.989165,2.455635,5.579522
82,4735,1.059792,1.355756,3.098335
83,4777,1.303573,1.600959,3.045737
81,4754,1.084638,1.520645,2.431011
83,4777,1.119602,1.387857,2.962431
82,4787,1.001731,1.458666,3.112215
82,4787,1.288065,1.813401,3.132761
82,4786,1.155426,1.430563,2.505519
81,4779,1.138230,1.389329,3.001953
84,4855,1.047625,1.402633,3.064633
82,4832,1.216431,1.735677,3.074378
82,4832,1.501787,1.486405,2.464219
82,4793,1.128645,1.379419,2.947791
83,4832,0.983571,1.384597,3.137291
81,4809,1.156841,1.516580,2.896260
81,4806,1.160401,1.550211,2.343595
83,4829,1.108931,1.343379,2.814412
82,4838,0.973816,1.384158,2.851394
82,4838,1.158047,1.482892,2.835560
84,4859,1.037982,1.325049,2.271107
82,4836,2.306382,2.421581,5.533621
83,4873,1.125598,1.372612,2.905667
83,4855,1.169032,1.476992,2.871654
83,4854,1.079509,1.382515,2.223303
84,4774,1.008982,1.218296,2.684839
84,4877,1.491015,1.293678,2.691389
82,4323,1.080574,1.298689,2.642798
86,4867,0.998282,1.259749,2.208545
83,4346,1.021431,1.224125,2.564096
81,4678,0.965603,1.382753,2.691935
87,4979,1.206529,1.398867,2.698612
87,4978,1.071717,1.316141,2.299242
84,4379,1.735516,1.955406,4.615655
86,4926,1.461773,1.608009,3.663912
85,4955,1.723245,1.859456,4.115122
85,5003,1.068564,1.345152,2.825845
85,4996,1.212868,1.454718,2.844793
85,4995,1.117180,1.485273,2.375610
85,4995,1.098445,1.349063,2.859168
86,5067,1.033495,1.400545,3.187165
89,5142,1.310769,1.783313,3.304409
86,5067,1.250466,1.670852,2.645634
88,5090,1.224427,1.447624,3.021597
90,5197,1.138077,1.441659,3.351519
88,5174,1.288862,1.596206,3.224940
89,5182,1.282155,1.821568,2.597491
88,5173,1.210517,1.491664,3.009731
90,5256,1.077004,1.479253,3.213908
92,5273,1.295453,1.540082,3.168023
91,5217,1.271585,1.675841,2.568994
91,5217,1.187238,1.507742,3.133511
92,5243,1.095381,1.472417,3.300919
92,5243,1.357603,1.683302,3.325401
90,5225,1.295148,1.687300,2.724661
92,5242,1.216080,1.542623,3.174422
94,5344,1.182155,1.524107,3.249221
93,5292,1.345531,1.613992,3.229971
