# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
10,640,0.272440,0.937910,4.242784
10,640,0.320896,1.160896,4.801129
10,640,0.252605,0.859431,3.694696
11,746,0.215436,0.738346,2.966575
11,737,0.229857,0.817338,2.717514
11,737,0.463483,1.698627,6.025295
11,737,0.341798,1.200788,4.961257
11,737,0.387529,1.328542,4.808753
12,803,0.309518,1.093376,4.374064
12,760,0.204790,0.770084,2.630942
13,865,0.333140,0.900084,3.272149
13,852,0.316815,0.880755,2.700275
14,933,0.358202,1.081903,3.534543
14,917,0.608862,1.967877,4.674658
15,966,0.292883,1.052359,3.224720
15,941,0.250226,0.997131,2.382779
16,957,0.355998,1.085507,2.863392
16,942,0.283443,1.015122,2.294836
17,957,0.351820,1.055450,2.779813
17,942,0.495595,1.674042,3.303720
18,984,0.272198,1.046645,2.541472
18,965,0.230766,0.971450,1.946535
19,1011,0.319825,1.059397,2.582405
19,1005,0.264462,1.003532,1.991976
20,1046,0.337493,1.185924,2.659901
20,1036,0.287380,1.059126,2.050621
21,1098,0.348729,1.232219,2.696736
21,1091,0.292503,1.089461,2.135035
22,1132,0.355536,1.253973,2.913053
21,1108,0.274478,1.159831,2.475678
21,1108,0.575620,2.026994,4.806826
21,1108,0.357744,1.108597,3.004523
21,1108,0.576816,1.911621,4.751840
21,1108,0.355776,1.116332,3.131120
21,1108,0.418363,1.315153,3.530762
22,1138,0.461360,1.331455,3.317065
22,1132,0.355306,1.229842,2.656407
23,1220,0.321497,1.307764,3.312635
23,1212,0.433242,1.393076,2.903693
23,1212,0.766077,2.309823,5.805018
23,1212,0.602890,1.837459,4.205250
24,1253,0.424706,1.318338,3.464110
24,1235,0.406288,1.355612,3.110940
24,1235,0.506262,1.407673,3.582266
25,1285,0.411456,1.265241,3.621267
25,1285,0.573815,1.409269,3.855332
25,1278,0.531657,1.400938,3.178449
26,1321,0.512844,1.364433,3.648174
26,1305,0.602072,1.442181,3.472833
25,1279,0.457386,1.308869,2.921985
26,1288,0.454257,1.249915,3.393190
26,1288,0.647078,1.320285,3.250319
25,1270,0.493913,1.304547,2.805093
26,1305,0.430406,1.274762,3.396208
26,1297,0.446937,1.298166,2.764872
25,1282,0.883976,2.536641,6.008684
26,1419,0.522613,1.414601,3.573653
26,1301,0.571789,1.227447,3.070378
26,1293,0.382801,1.091726,2.421615
26,1293,0.486381,1.142600,2.597263
27,1293,0.441249,1.018429,3.005056
27,1312,0.469855,1.070338,3.171580
27,1310,0.464215,1.134451,2.805281
27,1310,0.931348,1.966780,5.425137
28,1416,0.555090,1.197041,3.514789
28,1355,0.586139,1.153763,3.508116
28,1348,0.436124,1.015782,2.517097
27,1337,0.991207,2.155194,6.017730
28,1385,0.519232,1.089486,3.538296
28,1327,0.564324,1.030935,3.040085
28,1324,0.483769,0.920803,2.310633
29,1374,0.394884,0.915919,2.884821
29,1374,0.533575,0.949556,2.764925
29,1372,0.442502,0.896550,2.247457
30,1424,0.566430,1.065660,2.777051
30,1413,0.499096,0.989965,2.257459
30,1413,0.476920,0.923075,2.589939
31,1442,0.435179,0.859818,2.739612
31,1442,0.603551,0.932953,2.620684
31,1431,0.420568,0.911813,1.882300
32,1454,0.490811,0.998464,2.471194
32,1454,0.496916,1.009997,2.419724
32,1448,0.395658,0.947780,1.856180
33,1462,0.346178,0.986174,2.516166
33,1454,0.403127,1.045387,1.832116
33,1454,0.415587,1.122437,2.397207
34,1473,0.363299,1.040268,2.376324
34,1473,0.498160,1.213673,2.419027
34,1464,0.411736,1.139933,1.894698
35,1493,0.338281,1.114780,2.383875
35,1486,0.377394,1.174024,1.997595
34,1477,0.445017,1.183375,2.512843
35,1495,0.397738,1.185837,2.655249
35,1495,0.505517,1.300278,2.687326
35,1484,0.427961,1.308095,2.162595
36,1509,0.456583,1.301002,2.800272
36,1509,0.541160,1.543950,2.876659
36,1503,0.461852,1.443676,2.311430
37,1546,0.444521,1.395436,2.761341
37,1546,0.605791,1.807936,2.873855
36,1521,0.423080,1.452248,2.047936
37,1536,0.398140,1.468235,2.643055
37,1536,0.529847,1.644377,2.692977
36,1508,0.463910,1.524552,2.108338
37,1527,0.396454,1.480790,2.598958
37,1527,0.532905,1.623448,2.666268
36,1500,0.454988,1.438434,2.186593
37,1520,0.426384,1.329754,2.672591
37,1517,0.545037,1.352211,2.793943
37,1503,0.473879,1.248789,2.314906
38,1527,0.445002,1.196068,2.812127
38,1516,0.523784,1.278751,2.418298
37,1505,0.511723,1.186040,2.841846
38,1540,0.498918,1.109365,2.884081
38,1528,0.521631,1.147686,2.415702
38,1528,1.048591,2.106336,5.117493
39,1610,0.657324,1.346621,3.277346
39,1547,0.644588,1.193633,2.865481
39,1536,0.434000,1.048927,2.302411
40,1557,0.458992,1.006137,2.674203
40,1557,0.576865,1.125107,2.801944
40,1552,0.521000,1.091933,2.274730
41,1587,0.568383,1.071122,2.690865
41,1583,0.570861,1.165912,2.614713
41,1567,0.491381,1.121569,2.084519
42,1617,0.507214,1.130967,2.742043
41,1590,0.465410,1.218872,2.187579
42,1625,0.454851,1.202494,2.740944
42,1611,0.530980,1.295057,2.285895
42,1611,0.587124,1.357786,2.788958
43,1615,0.451420,1.216720,2.611273
43,1615,0.571646,1.394564,2.716257
41,1590,0.499944,1.306024,2.130158
42,1591,0.436644,1.301657,2.713880
42,1591,0.592268,1.473228,2.806171
42,1585,0.507498,1.477823,2.412539
43,1602,0.546994,1.476866,2.896442
43,1598,0.680877,1.549516,2.949038
43,1585,0.520979,1.611151,2.339737
44,1634,0.552739,1.649481,2.732956
44,1621,0.627760,2.141875,2.468445
43,1612,0.549998,1.662860,2.743702
44,1658,0.545692,1.692430,2.776818
44,1653,0.644893,1.841820,2.836257
43,1637,0.485012,1.529180,2.184106
44,1656,0.516845,1.530021,2.735463
44,1653,0.644598,1.642770,2.738310
44,1645,0.481773,1.471948,2.217356
45,1648,0.474485,1.487952,2.821578
