#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
91.703600,25,53,1415,14492
95.156021,25,54,1434,14478
88.993466,25,55,1445,14577
94.949269,25,56,1470,14669
97.354027,25,57,1501,14893
95.986383,25,58,1452,14386
87.872733,25,58,1455,14187
86.837234,25,58,1456,14166
84.105877,25,59,1379,13230
83.594905,25,60,1333,12651
86.195357,25,61,1378,13095
89.104771,25,61,1425,13376
85.673074,25,61,1432,13423
87.888321,25,62,1462,13803
91.815224,25,63,1459,13979
88.558806,25,63,1468,13933
90.545424,25,64,1469,14076
92.865839,25,64,1480,14063
95.235695,25,65,1465,14041
95.008609,25,65,1503,14102
95.256107,25,66,1445,13471
91.176992,25,67,1459,13710
92.912521,25,67,1485,13650
93.132667,25,68,1480,13623
95.344549,25,68,1451,13458
91.117317,25,69,1417,13070
89.872163,25,69,1441,13012
89.563933,25,68,1438,12794
91.382864,25,70,1433,12684
89.603597,25,67,1462,12696
89.637323,25,63,1449,12552
91.111498,25,60,1455,12608
92.178745,25,62,1485,12959
93.451071,25,63,1532,13370
103.933199,25,62,1519,13605
101.262974,25,63,1519,13806
96.429144,25,62,1545,14068
97.578058,25,63,1578,14457
105.193666,25,63,1590,14778
99.450861,25,63,1602,14675
106.402822,25,65,1603,14969
99.070608,25,65,1610,14896
103.954226,25,65,1614,15020
104.931427,25,66,1611,15105
101.574128,25,67,1608,15205
102.416862,25,68,1619,15469
112.412986,25,67,1571,15105
101.328647,25,67,1578,15203
108.829215,25,68,1619,15181
101.961580,25,67,1645,15137
101.216586,25,66,1607,15125
100.147669,25,67,1575,15026
103.134478,25,68,1588,14998
99.336791,25,69,1578,14878
100.229634,25,69,1613,14889
106.507402,25,69,1579,14701
103.970969,25,69,1579,14777
101.449007,25,70,1554,14756
110.348196,25,70,1578,14756
101.329752,25,70,1557,14819
109.384518,25,71,1516,14855
101.215380,25,71,1561,14955
107.263196,25,71,1518,14789
99.658955,25,72,1475,14739
107.849437,25,71,1480,14676
103.713127,25,72,1472,14836
102.500262,25,71,1508,14961
110.315502,25,70,1509,14986
103.799880,25,71,1514,14996
104.736838,25,69,1543,15338
110.007868,25,68,1510,15215
107.777580,25,67,1536,15201
107.465727,25,68,1510,15179
104.922120,25,67,1508,15106
110.494291,25,64,1466,15018
103.374748,25,65,1483,14917
103.701486,25,65,1490,15095
103.029155,25,64,1517,15081
102.745967,25,63,1481,15095
104.820047,25,63,1527,15210
106.797511,25,64,1525,15240
104.905469,25,65,1532,15378
103.995414,25,64,1522,15241
103.093049,25,65,1527,15044
103.998278,25,63,1526,14978
100.553052,25,63,1494,14631
99.361549,25,61,1490,14624
100.132187,25,61,1535,14699
101.561521,25,62,1551,14924
101.324031,25,62,1589,14936
101.750903,25,61,1617,14842
100.519189,25,61,1623,14938
103.940827,25,62,1596,14962
100.460205,25,63,1600,15127
99.963121,25,62,1626,15006
100.320961,25,63,1701,15439
102.733628,25,65,1730,15596
104.500032,25,64,1756,15900
106.351387,25,66,1771,16022
104.791440,25,64,1742,15910
104.411126,25,64,1700,15690
115.431279,25,65,1695,15923
108.260162,25,66,1685,15984
115.791542,25,66,1716,15963
107.077692,25,67,1700,15884
113.711961,25,68,1714,16034
